GroupID(X),GroupID(Y),GroupID(Z),GroupThreadID(X),GroupThreadID(Y),GroupThreadID(Z),DispatchThreadID(X),DispatchThreadID(Y),DispatchThreadID(Z),GroupIndex
0,0,0,	0,0,0,	0,0,0,	0
0,0,0,	1,0,0,	1,0,0,	1
0,0,0,	2,0,0,	2,0,0,	2
0,0,0,	3,0,0,	3,0,0,	3
0,0,0,	4,0,0,	4,0,0,	4
0,0,0,	5,0,0,	5,0,0,	5
0,0,0,	6,0,0,	6,0,0,	6
0,0,0,	7,0,0,	7,0,0,	7
0,0,0,	8,0,0,	8,0,0,	8
0,0,0,	9,0,0,	9,0,0,	9
0,0,0,	0,1,0,	0,1,0,	10
0,0,0,	1,1,0,	1,1,0,	11
0,0,0,	2,1,0,	2,1,0,	12
0,0,0,	3,1,0,	3,1,0,	13
0,0,0,	4,1,0,	4,1,0,	14
0,0,0,	5,1,0,	5,1,0,	15
0,0,0,	6,1,0,	6,1,0,	16
0,0,0,	7,1,0,	7,1,0,	17
0,0,0,	8,1,0,	8,1,0,	18
0,0,0,	9,1,0,	9,1,0,	19
0,0,0,	0,2,0,	0,2,0,	20
0,0,0,	1,2,0,	1,2,0,	21
0,0,0,	2,2,0,	2,2,0,	22
0,0,0,	3,2,0,	3,2,0,	23
0,0,0,	4,2,0,	4,2,0,	24
0,0,0,	5,2,0,	5,2,0,	25
0,0,0,	6,2,0,	6,2,0,	26
0,0,0,	7,2,0,	7,2,0,	27
0,0,0,	8,2,0,	8,2,0,	28
0,0,0,	9,2,0,	9,2,0,	29
0,0,0,	0,3,0,	0,3,0,	30
0,0,0,	1,3,0,	1,3,0,	31
0,0,0,	2,3,0,	2,3,0,	32
0,0,0,	3,3,0,	3,3,0,	33
0,0,0,	4,3,0,	4,3,0,	34
0,0,0,	5,3,0,	5,3,0,	35
0,0,0,	6,3,0,	6,3,0,	36
0,0,0,	7,3,0,	7,3,0,	37
0,0,0,	8,3,0,	8,3,0,	38
0,0,0,	9,3,0,	9,3,0,	39
0,0,0,	0,4,0,	0,4,0,	40
0,0,0,	1,4,0,	1,4,0,	41
0,0,0,	2,4,0,	2,4,0,	42
0,0,0,	3,4,0,	3,4,0,	43
0,0,0,	4,4,0,	4,4,0,	44
0,0,0,	5,4,0,	5,4,0,	45
0,0,0,	6,4,0,	6,4,0,	46
0,0,0,	7,4,0,	7,4,0,	47
0,0,0,	8,4,0,	8,4,0,	48
0,0,0,	9,4,0,	9,4,0,	49
0,0,0,	0,5,0,	0,5,0,	50
0,0,0,	1,5,0,	1,5,0,	51
0,0,0,	2,5,0,	2,5,0,	52
0,0,0,	3,5,0,	3,5,0,	53
0,0,0,	4,5,0,	4,5,0,	54
0,0,0,	5,5,0,	5,5,0,	55
0,0,0,	6,5,0,	6,5,0,	56
0,0,0,	7,5,0,	7,5,0,	57
0,0,0,	8,5,0,	8,5,0,	58
0,0,0,	9,5,0,	9,5,0,	59
0,0,0,	0,6,0,	0,6,0,	60
0,0,0,	1,6,0,	1,6,0,	61
0,0,0,	2,6,0,	2,6,0,	62
0,0,0,	3,6,0,	3,6,0,	63
0,0,0,	4,6,0,	4,6,0,	64
0,0,0,	5,6,0,	5,6,0,	65
0,0,0,	6,6,0,	6,6,0,	66
0,0,0,	7,6,0,	7,6,0,	67
0,0,0,	8,6,0,	8,6,0,	68
0,0,0,	9,6,0,	9,6,0,	69
0,0,0,	0,7,0,	0,7,0,	70
0,0,0,	1,7,0,	1,7,0,	71
0,0,0,	2,7,0,	2,7,0,	72
0,0,0,	3,7,0,	3,7,0,	73
0,0,0,	4,7,0,	4,7,0,	74
0,0,0,	5,7,0,	5,7,0,	75
0,0,0,	6,7,0,	6,7,0,	76
0,0,0,	7,7,0,	7,7,0,	77
0,0,0,	8,7,0,	8,7,0,	78
0,0,0,	9,7,0,	9,7,0,	79
0,0,0,	0,0,1,	0,0,1,	80
0,0,0,	1,0,1,	1,0,1,	81
0,0,0,	2,0,1,	2,0,1,	82
0,0,0,	3,0,1,	3,0,1,	83
0,0,0,	4,0,1,	4,0,1,	84
0,0,0,	5,0,1,	5,0,1,	85
0,0,0,	6,0,1,	6,0,1,	86
0,0,0,	7,0,1,	7,0,1,	87
0,0,0,	8,0,1,	8,0,1,	88
0,0,0,	9,0,1,	9,0,1,	89
0,0,0,	0,1,1,	0,1,1,	90
0,0,0,	1,1,1,	1,1,1,	91
0,0,0,	2,1,1,	2,1,1,	92
0,0,0,	3,1,1,	3,1,1,	93
0,0,0,	4,1,1,	4,1,1,	94
0,0,0,	5,1,1,	5,1,1,	95
0,0,0,	6,1,1,	6,1,1,	96
0,0,0,	7,1,1,	7,1,1,	97
0,0,0,	8,1,1,	8,1,1,	98
0,0,0,	9,1,1,	9,1,1,	99
0,0,0,	0,2,1,	0,2,1,	100
0,0,0,	1,2,1,	1,2,1,	101
0,0,0,	2,2,1,	2,2,1,	102
0,0,0,	3,2,1,	3,2,1,	103
0,0,0,	4,2,1,	4,2,1,	104
0,0,0,	5,2,1,	5,2,1,	105
0,0,0,	6,2,1,	6,2,1,	106
0,0,0,	7,2,1,	7,2,1,	107
0,0,0,	8,2,1,	8,2,1,	108
0,0,0,	9,2,1,	9,2,1,	109
0,0,0,	0,3,1,	0,3,1,	110
0,0,0,	1,3,1,	1,3,1,	111
0,0,0,	2,3,1,	2,3,1,	112
0,0,0,	3,3,1,	3,3,1,	113
0,0,0,	4,3,1,	4,3,1,	114
0,0,0,	5,3,1,	5,3,1,	115
0,0,0,	6,3,1,	6,3,1,	116
0,0,0,	7,3,1,	7,3,1,	117
0,0,0,	8,3,1,	8,3,1,	118
0,0,0,	9,3,1,	9,3,1,	119
0,0,0,	0,4,1,	0,4,1,	120
0,0,0,	1,4,1,	1,4,1,	121
0,0,0,	2,4,1,	2,4,1,	122
0,0,0,	3,4,1,	3,4,1,	123
0,0,0,	4,4,1,	4,4,1,	124
0,0,0,	5,4,1,	5,4,1,	125
0,0,0,	6,4,1,	6,4,1,	126
0,0,0,	7,4,1,	7,4,1,	127
0,0,0,	8,4,1,	8,4,1,	128
0,0,0,	9,4,1,	9,4,1,	129
0,0,0,	0,5,1,	0,5,1,	130
0,0,0,	1,5,1,	1,5,1,	131
0,0,0,	2,5,1,	2,5,1,	132
0,0,0,	3,5,1,	3,5,1,	133
0,0,0,	4,5,1,	4,5,1,	134
0,0,0,	5,5,1,	5,5,1,	135
0,0,0,	6,5,1,	6,5,1,	136
0,0,0,	7,5,1,	7,5,1,	137
0,0,0,	8,5,1,	8,5,1,	138
0,0,0,	9,5,1,	9,5,1,	139
0,0,0,	0,6,1,	0,6,1,	140
0,0,0,	1,6,1,	1,6,1,	141
0,0,0,	2,6,1,	2,6,1,	142
0,0,0,	3,6,1,	3,6,1,	143
0,0,0,	4,6,1,	4,6,1,	144
0,0,0,	5,6,1,	5,6,1,	145
0,0,0,	6,6,1,	6,6,1,	146
0,0,0,	7,6,1,	7,6,1,	147
0,0,0,	8,6,1,	8,6,1,	148
0,0,0,	9,6,1,	9,6,1,	149
0,0,0,	0,7,1,	0,7,1,	150
0,0,0,	1,7,1,	1,7,1,	151
0,0,0,	2,7,1,	2,7,1,	152
0,0,0,	3,7,1,	3,7,1,	153
0,0,0,	4,7,1,	4,7,1,	154
0,0,0,	5,7,1,	5,7,1,	155
0,0,0,	6,7,1,	6,7,1,	156
0,0,0,	7,7,1,	7,7,1,	157
0,0,0,	8,7,1,	8,7,1,	158
0,0,0,	9,7,1,	9,7,1,	159
0,0,0,	0,0,2,	0,0,2,	160
0,0,0,	1,0,2,	1,0,2,	161
0,0,0,	2,0,2,	2,0,2,	162
0,0,0,	3,0,2,	3,0,2,	163
0,0,0,	4,0,2,	4,0,2,	164
0,0,0,	5,0,2,	5,0,2,	165
0,0,0,	6,0,2,	6,0,2,	166
0,0,0,	7,0,2,	7,0,2,	167
0,0,0,	8,0,2,	8,0,2,	168
0,0,0,	9,0,2,	9,0,2,	169
0,0,0,	0,1,2,	0,1,2,	170
0,0,0,	1,1,2,	1,1,2,	171
0,0,0,	2,1,2,	2,1,2,	172
0,0,0,	3,1,2,	3,1,2,	173
0,0,0,	4,1,2,	4,1,2,	174
0,0,0,	5,1,2,	5,1,2,	175
0,0,0,	6,1,2,	6,1,2,	176
0,0,0,	7,1,2,	7,1,2,	177
0,0,0,	8,1,2,	8,1,2,	178
0,0,0,	9,1,2,	9,1,2,	179
0,0,0,	0,2,2,	0,2,2,	180
0,0,0,	1,2,2,	1,2,2,	181
0,0,0,	2,2,2,	2,2,2,	182
0,0,0,	3,2,2,	3,2,2,	183
0,0,0,	4,2,2,	4,2,2,	184
0,0,0,	5,2,2,	5,2,2,	185
0,0,0,	6,2,2,	6,2,2,	186
0,0,0,	7,2,2,	7,2,2,	187
0,0,0,	8,2,2,	8,2,2,	188
0,0,0,	9,2,2,	9,2,2,	189
0,0,0,	0,3,2,	0,3,2,	190
0,0,0,	1,3,2,	1,3,2,	191
0,0,0,	2,3,2,	2,3,2,	192
0,0,0,	3,3,2,	3,3,2,	193
0,0,0,	4,3,2,	4,3,2,	194
0,0,0,	5,3,2,	5,3,2,	195
0,0,0,	6,3,2,	6,3,2,	196
0,0,0,	7,3,2,	7,3,2,	197
0,0,0,	8,3,2,	8,3,2,	198
0,0,0,	9,3,2,	9,3,2,	199
0,0,0,	0,4,2,	0,4,2,	200
0,0,0,	1,4,2,	1,4,2,	201
0,0,0,	2,4,2,	2,4,2,	202
0,0,0,	3,4,2,	3,4,2,	203
0,0,0,	4,4,2,	4,4,2,	204
0,0,0,	5,4,2,	5,4,2,	205
0,0,0,	6,4,2,	6,4,2,	206
0,0,0,	7,4,2,	7,4,2,	207
0,0,0,	8,4,2,	8,4,2,	208
0,0,0,	9,4,2,	9,4,2,	209
0,0,0,	0,5,2,	0,5,2,	210
0,0,0,	1,5,2,	1,5,2,	211
0,0,0,	2,5,2,	2,5,2,	212
0,0,0,	3,5,2,	3,5,2,	213
0,0,0,	4,5,2,	4,5,2,	214
0,0,0,	5,5,2,	5,5,2,	215
0,0,0,	6,5,2,	6,5,2,	216
0,0,0,	7,5,2,	7,5,2,	217
0,0,0,	8,5,2,	8,5,2,	218
0,0,0,	9,5,2,	9,5,2,	219
0,0,0,	0,6,2,	0,6,2,	220
0,0,0,	1,6,2,	1,6,2,	221
0,0,0,	2,6,2,	2,6,2,	222
0,0,0,	3,6,2,	3,6,2,	223
0,0,0,	4,6,2,	4,6,2,	224
0,0,0,	5,6,2,	5,6,2,	225
0,0,0,	6,6,2,	6,6,2,	226
0,0,0,	7,6,2,	7,6,2,	227
0,0,0,	8,6,2,	8,6,2,	228
0,0,0,	9,6,2,	9,6,2,	229
0,0,0,	0,7,2,	0,7,2,	230
0,0,0,	1,7,2,	1,7,2,	231
0,0,0,	2,7,2,	2,7,2,	232
0,0,0,	3,7,2,	3,7,2,	233
0,0,0,	4,7,2,	4,7,2,	234
0,0,0,	5,7,2,	5,7,2,	235
0,0,0,	6,7,2,	6,7,2,	236
0,0,0,	7,7,2,	7,7,2,	237
0,0,0,	8,7,2,	8,7,2,	238
0,0,0,	9,7,2,	9,7,2,	239
